session_id,date,session_index_in_date,start_time,end_time,n_messages,n_user,n_assistant,n_attachments,title_hint,source_file
dlg_2025-04-03_s01,2025-04-03,1,2025-04-03T13:39:26+02:00,2025-04-03T15:12:51+02:00,71,33,38,7,"Привет, помоги пожалуйста, что не так с растением?",2025-04-03.md
dlg_2025-04-09_s01,2025-04-09,1,2025-04-09T15:00:19+02:00,2025-04-09T15:05:32+02:00,11,5,6,0,"Привет, свечи лучше доставать на холодную или прогреть двигатель?",2025-04-09.md
dlg_2025-04-14_s01,2025-04-14,1,2025-04-14T15:32:07+02:00,2025-04-14T16:01:56+02:00,16,5,11,0,"{   ""prompt"": ""A peaceful and poetic scene by a lake in autumn: a glowing tree w",2025-04-14.md
dlg_2025-04-18_s01,2025-04-18,1,2025-04-18T09:25:07+02:00,2025-04-18T09:39:24+02:00,9,4,5,1,"Привет, можешь улучшить изображение, повысить разрешение,качество и четкость. Сб",2025-04-18.md
dlg_2025-04-19_s01,2025-04-19,1,2025-04-19T16:20:47+02:00,2025-04-19T16:50:56+02:00,23,8,15,0,"Привет! Православие в России зародилось официально в **988 году**, когда князь *",2025-04-19.md
dlg_2025-04-22_s01,2025-04-22,1,2025-04-22T08:51:53+02:00,2025-04-22T10:19:38+02:00,20,10,10,0,"<Role_and_Objectives> You are the Brutal Truth Mirror, an uncompromising AI psyc",2025-04-22.md
dlg_2025-04-23_s01,2025-04-23,1,2025-04-23T18:00:29+02:00,2025-04-23T18:20:48+02:00,11,5,6,3,"Привет, не мог бы ты мне помочь с внешним дизайном моего дома, хочется чтобы она",2025-04-23.md
dlg_2025-04-25_s01,2025-04-25,1,2025-04-25T17:08:49+02:00,2025-04-25T17:15:16+02:00,12,5,7,0,Привет а кто помимо пчёл делает мёд?,2025-04-25.md
dlg_2025-04-27_s01,2025-04-27,1,2025-04-27T06:25:18+02:00,2025-04-27T10:55:19+02:00,32,16,16,2,"Привет, это правда? Казалось бы банальная ошибка, но к чему это может привести?",2025-04-27.md
dlg_2025-04-28_s01,2025-04-28,1,2025-04-28T06:17:34+02:00,2025-04-28T06:21:51+02:00,11,4,7,0,"Привет, ты готов к новому этапу борьбы со злом? 😅 https://imgur.com/a/XJf8ztb",2025-04-28.md
dlg_2025-04-28_s02,2025-04-28,2,2025-04-28T11:25:12+02:00,2025-04-28T12:59:32+02:00,12,6,6,2,Я имел ввиду вот это😱,2025-04-28.md
dlg_2025-04-28_s03,2025-04-28,3,2025-04-28T15:13:21+02:00,2025-04-28T19:20:35+02:00,27,13,14,1,Да расскажи пожалуйста 😉,2025-04-28.md
dlg_2025-04-29_s01,2025-04-29,1,2025-04-29T06:35:15+02:00,2025-04-29T09:44:40+02:00,34,17,17,0,"Там стоит обычный, худощавый парень. Слегка сутулится в расслабленном состоянии.",2025-04-29.md
dlg_2025-04-29_s02,2025-04-29,2,2025-04-29T17:43:41+02:00,2025-04-29T18:12:22+02:00,20,10,10,0,Начнём с заключённого в трюме👍,2025-04-29.md
dlg_2025-04-30_s01,2025-04-30,1,2025-04-30T08:19:34+02:00,2025-04-30T18:40:43+02:00,164,79,84,25,"Привет✋👋, немного отвлечемся. Подскажи как мне оплатить тебя из России?",2025-04-30.md
dlg_2025-04-30_s02,2025-04-30,2,2025-04-30T21:17:19+02:00,2025-04-30T21:27:55+02:00,4,2,2,2,Смотри как теперь обалденно выглядит мой канал благодаря тебе. https://www.twitc,2025-04-30.md
dlg_2025-05-02_s01,2025-05-02,1,2025-05-02T03:22:42+02:00,2025-05-02T03:22:43+02:00,2,1,1,0,"Привет расскажи подробно этапы проектирования, монтажа и подключение системы заз",2025-05-02.md
dlg_2025-05-23_s01,2025-05-23,1,2025-05-23T05:12:08+02:00,2025-05-23T05:12:10+02:00,2,1,1,0,"Привет подскажи пожалуйста как на организм действует сахар и фруктоза, что лучше",2025-05-23.md
dlg_2025-05-31_s01,2025-05-31,1,2025-05-31T09:51:22+02:00,2025-05-31T10:49:18+02:00,10,4,6,1,"Привет а подскажи пожалуйста, что будет если я равномерно насверлю пластиковый о",2025-05-31.md
dlg_2025-06-09_s01,2025-06-09,1,2025-06-09T19:24:33+02:00,2025-06-09T22:11:02+02:00,18,7,11,0,"Привет, у меня друг присматривает себе мобильный кондиционер и я хотел бы ему в",2025-06-09.md
dlg_2025-06-10_s01,2025-06-10,1,2025-06-10T08:50:27+02:00,2025-06-10T09:20:20+02:00,6,3,3,0,Как изменилось или нет твое видение  отношений человека и ИИ со времен начала на,2025-06-10.md
